f[Hz],F_B[%],H_max[T],H_max_equiv[T],U_HB[-],dPCB[kPa],Tspan[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-]
4,60,1.433,1.3,0.7953,1552.143004,20,-1299.841364,1241.343185,3934.875502,55.176,-93.51376719,-0.3336
4,60,1.433,1.3,0.9942,2277.664197,20,-3222.95831,1327.678579,7217.288923,55.176,-231.8675043,-0.4578
4,60,1.544,1.4,0.1988,185.5656721,20,381.3218139,507.0934364,117.6812404,55.176,27.43322402,1.9038
4,60,1.544,1.4,0.3977,506.09876,20,422.3183707,915.882441,641.6747964,55.176,30.3826166,0.5807
4,60,1.544,1.4,0.5965,961.6221152,20,-8.70375712,1244.053658,1828.539692,55.176,-0.62616958,-0.0046
4,60,1.544,1.4,0.7953,1552.143004,20,-1060.867961,1498.996718,3934.875502,55.176,-76.32143604,-0.2711
4,60,1.544,1.4,0.9942,2277.664197,20,-2927.298898,1645.68054,7217.288923,55.176,-210.597043,-0.4145
4,75,1.1,1,0.1988,137.3610771,20,102.6224333,190.5363845,69.81353121,68.97,7.38290887,0.7021
4,75,1.1,1,0.3977,360.9411738,20,-74.00057388,267.9333392,366.7801169,68.97,-5.32378229,-0.1719
4,75,1.1,1,0.5965,670.7527657,20,-630.2182549,231.5949845,1022.252996,68.97,-45.3394428,-0.6026
4,75,1.1,1,0.7953,1066.800714,20,-1684.710879,63.71985894,2167.608759,68.97,-121.2022215,-0.7964
4,75,1.1,1,0.9942,1549.08708,20,-3398.718715,-294.8219105,3934.229025,68.97,-244.5121377,-0.9042
4,75,1.211,1.1,0.1988,137.3610771,20,174.8805413,267.8981967,69.81353121,68.97,12.58133391,1.1554
4,75,1.211,1.1,0.3977,360.9411738,20,69.60386745,421.9202511,366.7801169,68.97,5.00747248,0.1579
4,75,1.211,1.1,0.5965,670.7527657,20,-416.7305909,460.4883215,1022.252996,68.97,-29.98061805,-0.3927
4,75,1.211,1.1,0.7953,1066.800714,20,-1402.542053,365.9630359,2167.608759,68.97,-100.902306,-0.6567
4,75,1.211,1.1,0.9942,1549.08708,20,-3049.014408,79.04452629,3934.229025,68.97,-219.3535545,-0.8058
4,75,1.322,1.2,0.1988,137.3610771,20,239.994132,337.6333989,69.81353121,68.97,17.26576489,1.5379
