Hmax[T]	f[Hz]	F_R[%]	F_M_High[%]	F_B[%]	U_HB[-]	dPCB[kPa]	Tspan[K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1.3	1	15	35	80	0.7953	125.8049878	20	20.6678559	193.6740681	321.2541493	23.80588757	73.82344444	13.93338619	1.736	366.2482733
1.3	1	15	35	80	0.9942	169.0110217	20	20.35713962	85.8833886	260.0531233	39.97640268	73.82344444	6.17866105	0.7158	195.6653277
1.3	1	15	35	90	0.1988	21.43965555	20	21.09512362	85.00409662	125.4447798	1.01589831	83.27488889	6.11540263	0.9402	722.4883028
1.3	1	15	35	90	0.3977	46.59437996	20	20.99605474	157.5644111	225.353868	4.41550833	83.27488889	11.33556914	1.5911	829.9490406
1.3	1	15	35	90	0.5965	75.46421315	20	20.85161804	197.6119226	293.8604862	10.72674852	83.27488889	14.21668508	1.826	795.7427323
1.3	1	15	35	90	0.7953	108.0491844	20	20.6407863	182.0178649	311.9480173	20.47757337	83.27488889	13.09481042	1.5577	700.080202
1.3	1	15	35	90	0.9942	144.349315	20	20.34307974	80.69107177	251.952294	34.19595654	83.27488889	5.80511308	0.6546	567.0128046
1.3	1	15	35	100	0.1988	19.02445271	20	21.06495576	67.59945488	138.0542135	0.91287081	91.96	4.86327014	0.6917	1715.455791
1.3	1	15	35	100	0.3977	41.05816915	20	20.93051016	132.6536051	226.5798271	3.940043	91.96	9.54342483	1.2581	1730.175198
1.3	1	15	35	100	0.5965	66.10116666	20	20.78230286	167.4565924	285.5780615	9.51441171	91.96	12.04723686	1.4751	1631.669238
1.3	1	15	35	100	0.7953	94.15347069	20	20.57662168	148.5543012	296.8687497	18.06892077	91.96	10.6873598	1.2306	1538.045715
1.3	1	15	35	100	0.9942	125.2151056	20	20.28816591	46.07020736	232.697695	30.03654309	91.96	3.31440341	0.3676	1464.451032
1.3	1	20	30	60	0.1988	33.68866204	20	21.08796113	94.3046904	114.6899839	1.60137866	55.176	6.7845101	1.4837	308.0691894
1.3	1	20	30	60	0.3977	75.81455404	20	21.0033869	167.2005258	218.3579701	7.20717236	55.176	12.02881481	2.247	346.6252094
1.3	1	20	30	60	0.5965	126.3778425	20	20.83159371	195.0015938	284.4481291	18.02003471	55.176	14.02889164	2.2356	291.3394044
1.3	1	20	30	60	0.7953	185.37863	20	20.5766771	152.1531679	291.4310076	35.24272743	55.176	10.94627107	1.501	173.0769824
1.3	1	20	30	60	0.9942	252.8169804	20	20.22480103	6.17898783	210.5834426	60.07805814	55.176	0.4445315	0.0534	6.88207309
1.3	1	20	30	70	0.1988	28.32010001	20	21.09547695	92.89960824	117.8464214	1.34793378	64.372	6.68342505	1.2831	378.7291687
1.3	1	20	30	70	0.3977	62.83074925	20	21.0124365	167.8515336	221.727932	5.98072117	64.372	12.0756499	2.0363	430.1597177
1.3	1	20	30	70	0.5965	103.5320462	20	20.85510301	202.9359409	290.7277678	14.78194541	64.372	14.59970798	2.1646	375.8967628
1.3	1	20	30	70	0.7953	150.4240559	20	20.61974369	173.5090588	303.7804397	28.63526263	64.372	12.4826661	1.6448	256.1009036
1.3	1	20	30	70	0.9942	203.5068215	20	20.29063051	47.94774048	232.3581317	48.42436281	64.372	3.44947773	0.4125	87.24201617
1.3	1	20	30	80	0.1988	24.39846294	20	21.07431608	87.92367976	118.344074	1.15433144	73.82344444	6.32544459	1.0814	480.7827544
1.3	1	20	30	80	0.3977	53.49874446	20	20.98497057	160.4204545	218.0224371	5.06201469	73.82344444	11.54103989	1.774	538.5936963
1.3	1	20	30	80	0.5965	87.30090521	20	20.83440269	196.7669528	284.492259	12.39015	73.82344444	14.15589589	1.9604	475.5609429
1.3	1	20	30	80	0.7953	125.8049878	20	20.61157089	173.2939124	297.6857448	23.80588757	73.82344444	12.46718794	1.574	347.0660578
1.3	1	20	30	80	0.9942	169.0110217	20	20.29885883	59.40327325	229.6725765	39.97640268	73.82344444	4.27361678	0.5031	172.6182966
1.3	1	20	30	90	0.1988	21.43965555	20	21.03476504	79.74899168	118.968983	1.01589831	83.27488889	5.73733753	0.8858	717.6744055
1.3	1	20	30	90	0.3977	46.59437996	20	20.93315827	146.3766139	212.1000977	4.41550833	83.27488889	10.53069165	1.4903	825.0400029
1.3	1	20	30	90	0.5965	75.46421315	20	20.78420932	179.4119452	272.8057756	10.72674852	83.27488889	12.90733419	1.6782	791.6775276
1.3	1	20	30	90	0.7953	108.0491844	20	20.56920231	156.0777786	282.3498445	20.47757337	83.27488889	11.22861716	1.3574	696.6084953
