f[Hz]	H_max[T]	H_min[T]	F[%]	U_HB[-]	dPCB[kPa]	Tspan [K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]
2	1.3	0.05	90	0.1988	46.6076	20.0000	196.2845	253.2774	9.7572	83.2749	14.1212	1.8318
2	1.3	0.05	90	0.3977	108.0744	20.0000	349.9147	475.7694	45.2454	83.2749	25.1737	2.2767
2	1.3	0.05	90	0.5965	184.4011	20.0000	420.0886	645.6674	115.7916	83.2749	30.2222	1.8321
2	1.3	0.05	90	0.7953	275.5880	20.0000	360.0597	725.8160	230.7241	83.2749	25.9036	1.0593
2	1.3	0.05	90	0.9942	381.6354	20.0000	104.5240	660.5223	399.3716	83.2749	7.5197	0.2132
2	1.3	0.05	100	0.1988	41.0801	20.0000	193.0326	253.2423	7.8880	91.9600	13.8872	1.6972
2	1.3	0.05	100	0.3977	94.1959	20.0000	349.6941	475.4788	36.1671	91.9600	25.1578	2.2813
2	1.3	0.05	100	0.5965	159.3477	20.0000	431.5939	649.4922	91.7625	91.9600	31.0499	2.0095
2	1.3	0.05	100	0.7953	236.5361	20.0000	393.9030	738.4260	181.6010	91.9600	28.3383	1.3047
2	1.3	0.05	100	0.9942	325.7613	20.0000	173.2768	686.9445	312.6103	91.9600	12.4660	0.4155
2	1.3	0.1	90	0.1988	46.6076	20.0000	193.1215	248.4509	9.7572	83.2749	13.8936	1.8061
2	1.3	0.1	90	0.3977	108.0744	20.0000	341.5139	464.4403	45.2454	83.2749	24.5693	2.2308
2	1.3	0.1	90	0.5965	184.4011	20.0000	404.2365	625.5503	115.7916	83.2749	29.0818	1.7718
2	1.3	0.1	90	0.7953	275.5880	20.0000	335.1445	695.1957	230.7241	83.2749	24.1111	0.9912
2	1.3	0.1	90	0.9942	381.6354	20.0000	69.8692	618.5913	399.3716	83.2749	5.0266	0.1433
2	1.3	0.1	100	0.1988	41.0801	20.0000	189.9735	248.5187	7.8880	91.9600	13.6672	1.6736
2	1.3	0.1	100	0.3977	94.1959	20.0000	341.6528	464.4950	36.1671	91.9600	24.5793	2.2373
2	1.3	0.1	100	0.5965	159.3477	20.0000	416.4072	630.0054	91.7625	91.9600	29.9573	1.9487
2	1.3	0.1	100	0.7953	236.5361	20.0000	369.8809	708.6525	181.6010	91.9600	26.6101	1.2322
2	1.3	0.1	100	0.9942	325.7613	20.0000	139.5931	645.9120	312.6103	91.9600	10.0427	0.3367
2	1.4	0.05	90	0.1988	46.6076	20.0000	231.3571	293.6550	9.7572	83.2749	16.6444	2.1095
2	1.4	0.05	90	0.3977	108.0744	20.0000	421.6593	556.4801	45.2454	83.2749	30.3352	2.6544
2	1.4	0.05	90	0.5965	184.4011	20.0000	529.3322	767.4002	115.7916	83.2749	38.0815	2.2321
2	1.4	0.05	90	0.7953	275.5880	20.0000	506.9536	888.5822	230.7241	83.2749	36.4715	1.4465
2	1.4	0.05	90	0.9942	381.6354	20.0000	288.6870	863.7840	399.3716	83.2749	20.7688	0.5735
2	1.4	0.05	100	0.1988	41.0801	20.0000	227.3740	292.8966	7.8880	91.9600	16.3578	1.9566
2	1.4	0.05	100	0.3977	94.1959	20.0000	420.1258	554.9321	36.1671	91.9600	30.2249	2.6531
2	1.4	0.05	100	0.5965	159.3477	20.0000	539.1071	769.6208	91.7625	91.9600	38.7847	2.4229
2	1.4	0.05	100	0.7953	236.5361	20.0000	538.8187	899.4392	181.6010	91.9600	38.7639	1.7252
2	1.4	0.05	100	0.9942	325.7613	20.0000	355.3625	888.4589	312.6103	91.9600	25.5657	0.8262
2	1.4	0.1	90	0.1988	46.6076	20.0000	228.1627	288.7446	9.7572	83.2749	16.4146	2.0847
2	1.4	0.1	90	0.3977	108.0744	20.0000	413.2152	545.0138	45.2454	83.2749	29.7277	2.6112
2	1.4	0.1	90	0.5965	184.4011	20.0000	513.3805	747.0401	115.7916	83.2749	36.9339	2.1753
2	1.4	0.1	90	0.7953	275.5880	20.0000	481.8277	857.5588	230.7241	83.2749	34.6639	1.3819
