f[Hz]	Hmax[T]	MagPeriod [s]	FieldPeriod[s]	F[%]	Test	Re_w[-]	ReDp_CB[-]	ReDp_HB[-]	U_CB[-]	U_HB[-]	dPCB[kPa]	dPHB[kPa]	Tspan [K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1	1.2	25	25	70	Test2	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	35.6717733	106.8000033	112.5135781	17.78287755	21.12	13.81885439	2.025730175	-1378.618571
1	1.2	25	25	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.05767208	69.40982271	67.65010273	2.223694232	22.08	8.98093824	2.085341419	-263.1309785
1	1.2	25	25	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	35.99653742	95.82668385	97.93393691	5.153126984	22.08	12.39901639	2.417903139	-505.012821
1	1.2	25	25	80	Test1	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	35.84874191	107.6686707	112.2777806	9.42744944	22.08	13.9312513	2.369536738	-881.4866855
1	1.2	25	25	80	Test2	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	35.64104965	101.0989268	106.2924902	15.14653394	22.08	13.08119201	2.009610351	-1463.779975
1	1.2	25	25	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.00462963	63.46847147	67.09338336	1.952585739	23.04	8.2121867	1.911426184	-245.1091525
1	1.2	25	25	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	35.92919927	87.18944513	93.95878606	4.510729242	23.04	11.28144392	2.245288842	-474.097285
1	1.2	25	25	90	Test1	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	35.77864493	97.03174134	105.3550032	8.227803582	23.04	12.55493881	2.214186882	-837.3346871
1	1.2	25	25	90	Test2	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	35.57484383	89.43489683	97.29886618	13.18208017	23.04	11.57198295	1.871255361	-1393.428695
1	1.2	30	20	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.03142454	72.54363158	61.91683999	3.046043856	20.16	9.38642183	2.225779181	-211.6941017
1	1.2	30	20	60	Test1	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	35.98006373	98.06940606	93.6459801	7.122737142	20.16	12.68920226	2.453456288	-428.5862818
1	1.2	30	20	60	Test1	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	35.82593672	107.0672218	108.3710293	13.14110412	20.16	13.8534298	2.270560492	-772.247322
1	1.2	30	20	60	Test2	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	35.60715271	95.92198315	102.0297983	21.28055888	20.16	12.41134717	1.781217977	-1315.764739
1	1.2	30	20	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.01033483	69.30903122	62.60500448	2.5816217	21.12	8.96789683	2.121519825	-229.0921879
1	1.2	30	20	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	35.95331397	94.3232237	92.4253743	6.006380394	21.12	12.20448366	2.398198615	-454.859731
1	1.2	30	20	70	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.8027142	103.9039048	105.7602867	11.02952762	21.12	13.44412817	2.278911463	-814.521775
1	1.2	30	20	70	Test2	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	35.59152574	94.49119991	98.61056127	17.78287755	21.12	12.2262181	1.848090578	-1378.056517
1	1.2	30	20	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	35.9800481	64.52221668	62.38164198	2.223694232	22.08	8.34853081	1.976043489	-248.3796646
