f[Hz],H[mm],H_max[T],U_HB[-],dPCB[kPa],Tspan[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-]
2,10,1.1,0.1988,41.08011652,20,38.48290198,61.57076287,3.94398668,91.96,2.7685541,0.39
2,10,1.1,0.3977,94.19589525,20,56.52576672,106.942239,18.08354785,91.96,4.06660192,0.4954
2,10,1.1,0.5965,159.3477262,20,36.79579973,127.9264158,45.8812524,91.96,2.64717984,0.2619
2,10,1.1,0.7953,236.53609,20,-41.89786165,107.3075614,90.80051346,91.96,-3.01423465,-0.2331
2,10,1.1,0.9942,325.7613467,20,-210.8099474,17.81046556,156.3051322,91.96,-15.16618327,-0.9044
2,10,1.2,0.1988,41.08011652,20,57.55595482,83.19774739,3.94398668,91.96,4.14071617,0.5753
2,10,1.2,0.3977,94.19589525,20,96.00069006,150.9803252,18.08354785,91.96,6.90652447,0.8209
2,10,1.2,0.5965,159.3477262,20,97.43317482,195.0728394,45.8812524,91.96,7.00958092,0.6726
2,10,1.2,0.7953,236.53609,20,40.18787736,197.7833444,90.80051346,91.96,2.8912142,0.2165
2,10,1.2,0.9942,325.7613467,20,-107.3113076,131.5115501,156.3051322,91.96,-7.72023796,-0.4461
2,10,1.3,0.1988,41.08011652,20,76.24764247,104.4200683,3.94398668,91.96,5.4854419,0.752
2,10,1.3,0.3977,94.19589525,20,134.4032778,193.8372659,18.08354785,91.96,9.66930056,1.1227
2,10,1.3,0.5965,159.3477262,20,156.0740456,260.0390223,45.8812524,91.96,11.22834861,1.047
2,10,1.3,0.7953,236.53609,20,119.1955204,284.9352492,90.80051346,91.96,8.57521729,0.623
2,10,1.3,0.9942,325.7613467,20,-8.07930962,240.6472598,156.3051322,91.96,-0.5812453,-0.0326
2,10,1.4,0.1988,41.08011652,20,94.11288946,124.8311808,3.94398668,91.96,6.77071147,0.9166
2,10,1.4,0.3977,94.19589525,20,171.0198829,234.8620027,18.08354785,91.96,12.3035887,1.3978
2,10,1.4,0.5965,159.3477262,20,211.9060797,322.0900284,45.8812524,91.96,15.24504171,1.3842
2,10,1.4,0.7953,236.53609,20,194.348337,368.0665255,90.80051346,91.96,13.98189474,0.9878
2,10,1.4,0.9942,325.7613467,20,86.24390287,344.6461806,156.3051322,91.96,6.20459733,0.3389
2,15,0.9,0.1988,41.08011652,20,20.27956774,48.35704154,5.91598001,91.96,1.45896171,0.2042
2,15,0.9,0.3977,94.19589525,20,4.63734917,68.78533545,27.12532177,91.96,0.33362224,0.0388
2,15,0.9,0.5965,159.3477262,20,-71.80016831,48.72961546,68.8218786,91.96,-5.16547973,-0.4614
2,15,0.9,0.7953,236.53609,20,-239.7124796,-36.46029485,136.2007702,91.96,-17.24550213,-1.1365
2,15,0.9,0.9942,325.7613467,20,-544.5943039,-226.2984416,234.4576983,91.96,-39.17944632,-1.896
2,15,1,0.1988,41.08011652,20,47.2041994,79.3992771,5.91598001,91.96,3.39598557,0.4661
2,15,1,0.3977,94.19589525,20,61.67773319,133.1440184,27.12532177,91.96,4.43724699,0.4993
2,15,1,0.5965,159.3477262,20,17.53502536,148.4594761,68.8218786,91.96,1.26151262,0.1082
2,15,1,0.7953,236.53609,20,-116.6693477,99.87365084,136.2007702,91.96,-8.39347825,-0.5309
2,15,1,0.9942,325.7613467,20,-387.1845744,-52.85595395,234.4576983,91.96,-27.85500535,-1.2968
2,15,1.1,0.1988,41.08011652,20,75.78302611,111.9439846,5.91598001,91.96,5.45201627,0.7334
2,15,1.1,0.3977,94.19589525,20,121.1933163,199.7390113,27.12532177,91.96,8.71894362,0.9483
2,15,1.1,0.5965,159.3477262,20,109.4498511,250.4538996,68.8218786,91.96,7.87409,0.649
